### Top 5 hits for each virus with each method used
### Score 1 / Score 2 columns correpond respectively to:
### For blast hits => Total number of matches in hsps / Average percentage of identity across the full alignment
### For crispr hits => Number of mismatches / Length of CRISPR spacer
### For WIsH => Log-likelihood / P-value
### For VirHostMatcher => s2 similarity/ NA
### For PHP => PHP score/ NA
### For RaFAH => Confidence score / estimated FDR
### For iPHoP-RF => Confidence score / estimated FDR
Virus,Method,Host,Host taxonomy,Metric 1,Score 1,Metric 2,Score 2,Rank,Host representative
contig_19968,blast,GCA_958295495.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp958295495,Match_length,4993.000,Id_pcent,90.61,3,GB_GCA_958295495.1
contig_19968,blast,GCA_007571365.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp007571365,Match_length,4466.000,Id_pcent,84.68,4,GB_GCA_007571365.1
contig_19968,blast,GCA_022825835.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp022825835,Match_length,3582.000,Id_pcent,95.78,5,GB_GCA_022825835.1
contig_19968,crispr,GCF_023208015.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Thermobifida;s__Thermobifida alba,N_mismatches,3.000,Spacer_length,32.0,1,RS_GCF_023208015.1
contig_19968,crispr,MGYG000354019,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC164599;s__MGBC164599 sp910575625,N_mismatches,4.000,Spacer_length,33.0,2,GB_GCA_910575625.1
contig_19968,crispr,GCF_023208015.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Thermobifida;s__Thermobifida alba,N_mismatches,4.000,Spacer_length,33.0,2,RS_GCF_023208015.1
contig_19968,crispr,GCA_963676415.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WRLA01;g__G963662905;s__G963662905 sp963676415,N_mismatches,4.000,Spacer_length,30.0,2,GB_GCA_963676415.1
contig_19968,iPHoP-RF,GB_GCA_009845645.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp009845645,Confidence_score,0.340,FDR,0.81,1,GB_GCA_009845645.1
contig_19968,iPHoP-RF,GB_GCA_028875345.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp028875345,Confidence_score,0.264,FDR,0.863,2,GB_GCA_028875345.1
contig_19968,iPHoP-RF,GB_GCA_022827835.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp022827835,Confidence_score,0.260,FDR,0.866,3,GB_GCA_022827835.1
contig_19968,iPHoP-RF,GB_GCA_007571365.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp007571365,Confidence_score,0.234,FDR,0.883,4,GB_GCA_007571365.1
contig_19968,iPHoP-RF,GB_GCA_022825835.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp022825835,Confidence_score,0.234,FDR,0.883,4,GB_GCA_022825835.1
contig_19968,php,3300012981_4,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__,Score,1413.841,NA,NA,1,3300012981_4
contig_19968,php,GCA_016713625.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter affinis,Score,1412.901,NA,NA,2,GB_GCA_016713625.1
contig_19968,php,GCA_023381515.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__JAMDCU01;s__JAMDCU01 sp023381515,Score,1412.851,NA,NA,3,GB_GCA_023381515.1
contig_19968,php,3300025164_14,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__JACPFE01;s__,Score,1412.813,NA,NA,4,3300025164_14
contig_19968,php,3300011444_6,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__,Score,1412.790,NA,NA,5,3300011444_6
contig_19968,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.256,FDR,0.666,1,NA
contig_19968,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.256,FDR,0.666,1,NA
contig_19968,rafah,Haemophilus,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus,Confidence_score,0.144,FDR,0.86,2,NA
contig_19968,rafah,Haemophilus,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D,Confidence_score,0.144,FDR,0.86,2,NA
contig_19968,rafah,Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Confidence_score,0.144,FDR,0.86,3,NA
contig_19968,vhm,GCA_022825835.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp022825835,S2star_similarity,0.388,NA,NA,1,GB_GCA_022825835.1
contig_19968,vhm,GCA_009841115.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp009841115,S2star_similarity,0.386,NA,NA,2,GB_GCA_009841115.1
contig_19968,vhm,GCA_022820485.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp022820485,S2star_similarity,0.385,NA,NA,3,GB_GCA_022820485.1
contig_19968,vhm,GCA_028875345.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp028875345,S2star_similarity,0.385,NA,NA,4,GB_GCA_028875345.1
contig_19968,vhm,GCA_022827835.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp022827835,S2star_similarity,0.384,NA,NA,5,GB_GCA_022827835.1
contig_19968,wish,GCA_022827835.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp022827835,Log-likelihood,-1.346,p-value,0.0316940098909332,1,GB_GCA_022827835.1
contig_19968,wish,GCA_028875345.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp028875345,Log-likelihood,-1.350,p-value,0.0374316918578449,2,GB_GCA_028875345.1
contig_19968,wish,3300022861_2,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Korobacteraceae;g__TOLSYN;s__,Log-likelihood,-1.353,p-value,0.0738169275934458,3,3300022861_2
contig_19968,wish,GCA_958295495.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__GCA-2724215 sp958295495,Log-likelihood,-1.355,p-value,0.0450538555429954,4,GB_GCA_958295495.1
contig_19968,wish,3300040957_21,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__,Log-likelihood,-1.355,p-value,0.1170453974533411,5,3300040957_21
contig_19981|provirus_3_15480,blast,GCA_022827095.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp022827095,Match_length,11094.000,Id_pcent,90.42,1,GB_GCA_022827095.1
contig_19981|provirus_3_15480,blast,GCA_034420475.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp034420475,Match_length,11481.000,Id_pcent,88.33,2,GB_GCA_034420475.1
contig_19981|provirus_3_15480,blast,GCA_028873965.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp028873965,Match_length,9398.000,Id_pcent,87.24,3,GB_GCA_028873965.1
contig_19981|provirus_3_15480,blast,GCA_963663945.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp963663945,Match_length,7789.000,Id_pcent,86.71,4,GB_GCA_963663945.1
contig_19981|provirus_3_15480,blast,GCA_951813535.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp951813535,Match_length,7255.000,Id_pcent,85.98,5,GB_GCA_951813535.1
contig_19981|provirus_3_15480,crispr,3300044542_45,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__JAKVJE01;s__,N_mismatches,4.000,Spacer_length,33.0,1,3300044537_18
contig_19981|provirus_3_15480,crispr,GCF_903944925.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila sp903944925,N_mismatches,4.000,Spacer_length,34.0,1,RS_GCF_903944925.1
contig_19981|provirus_3_15480,iPHoP-RF,GB_GCA_022827095.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp022827095,Confidence_score,0.816,FDR,0.285,1,GB_GCA_022827095.1
contig_19981|provirus_3_15480,iPHoP-RF,GB_GCA_034420475.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp034420475,Confidence_score,0.816,FDR,0.285,1,GB_GCA_034420475.1
contig_19981|provirus_3_15480,iPHoP-RF,GB_GCA_963663945.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp963663945,Confidence_score,0.790,FDR,0.314,2,GB_GCA_963663945.1
contig_19981|provirus_3_15480,iPHoP-RF,GB_GCA_021295965.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp021295965,Confidence_score,0.754,FDR,0.357,3,GB_GCA_021295965.1
contig_19981|provirus_3_15480,iPHoP-RF,GB_GCA_034428455.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp034428455,Confidence_score,0.734,FDR,0.383,4,GB_GCA_034428455.1
contig_19981|provirus_3_15480,php,GCA_034428455.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp034428455,Score,1408.876,NA,NA,1,GB_GCA_034428455.1
contig_19981|provirus_3_15480,php,GCA_026710825.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp026710825,Score,1408.620,NA,NA,2,GB_GCA_026710825.1
contig_19981|provirus_3_15480,php,GCA_963692995.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp963692995,Score,1405.762,NA,NA,3,GB_GCA_963692995.1
contig_19981|provirus_3_15480,php,GCA_951813535.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp951813535,Score,1405.626,NA,NA,4,GB_GCA_951813535.1
contig_19981|provirus_3_15480,php,GCA_028875655.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp028875655,Score,1404.554,NA,NA,5,GB_GCA_028875655.1
contig_19981|provirus_3_15480,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.156,FDR,0.845,1,NA
contig_19981|provirus_3_15480,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.156,FDR,0.845,1,NA
contig_19981|provirus_3_15480,rafah,Sinorhizobium,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium,Confidence_score,0.128,FDR,0.879,2,NA
contig_19981|provirus_3_15480,rafah,Kyrpidia,d__Bacteria;p__Bacillota;c__Bacilli;o__Kyrpidiales;f__Kyrpidiaceae;g__Kyrpidia,Confidence_score,0.098,FDR,0.912,3,NA
contig_19981|provirus_3_15480,rafah,Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Confidence_score,0.088,FDR,0.923,4,NA
contig_19981|provirus_3_15480,vhm,GCA_034420475.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp034420475,S2star_similarity,0.539,NA,NA,1,GB_GCA_034420475.1
contig_19981|provirus_3_15480,vhm,GCA_022827095.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp022827095,S2star_similarity,0.538,NA,NA,2,GB_GCA_022827095.1
contig_19981|provirus_3_15480,vhm,GCA_034428455.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp034428455,S2star_similarity,0.536,NA,NA,3,GB_GCA_034428455.1
contig_19981|provirus_3_15480,vhm,GCA_028873965.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp028873965,S2star_similarity,0.532,NA,NA,4,GB_GCA_028873965.1
contig_19981|provirus_3_15480,vhm,GCA_963666865.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp963666865,S2star_similarity,0.530,NA,NA,5,GB_GCA_963666865.1
contig_19981|provirus_3_15480,wish,GCA_002238825.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp002238825,Log-likelihood,-1.316,p-value,0.0216054603889547,1,GB_GCA_002238825.1
contig_19981|provirus_3_15480,wish,GCA_022827095.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp022827095,Log-likelihood,-1.317,p-value,0.0171546821604478,2,GB_GCA_022827095.1
contig_19981|provirus_3_15480,wish,GCA_951813535.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp951813535,Log-likelihood,-1.317,p-value,0.0191843653695358,3,GB_GCA_951813535.1
contig_19981|provirus_3_15480,wish,GCA_034428455.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp034428455,Log-likelihood,-1.318,p-value,0.0174467101703572,4,GB_GCA_034428455.1
contig_19981|provirus_3_15480,wish,GCA_022823505.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp022823505,Log-likelihood,-1.321,p-value,0.021364414954715,5,GB_GCA_022823505.1
contig_1999,crispr,3300046171_140,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__,N_mismatches,4.000,Spacer_length,28.0,1,3300048446_15
contig_1999,iPHoP-RF,3300043331_552,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__JBBDZX01;s__,Confidence_score,0.560,FDR,0.603,1,3300043331_552
contig_1999,iPHoP-RF,GB_GCA_009839295.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin34;s__Bin34 sp009839295,Confidence_score,0.480,FDR,0.691,2,GB_GCA_009839295.1
contig_1999,iPHoP-RF,GB_GCA_963664185.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin34;s__Bin34 sp963664185,Confidence_score,0.434,FDR,0.736,3,GB_GCA_963664185.1
contig_1999,iPHoP-RF,GB_GCA_009841145.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin34;s__Bin34 sp009841145,Confidence_score,0.374,FDR,0.785,4,GB_GCA_009841145.1
contig_1999,iPHoP-RF,GB_GCA_963663885.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin34;s__Bin34 sp002238555,Confidence_score,0.328,FDR,0.818,5,GB_GCA_963663885.1
contig_1999,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.185,FDR,0.804,1,NA
contig_1999,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.185,FDR,0.804,1,NA
contig_1999,rafah,Haemophilus,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus,Confidence_score,0.111,FDR,0.898,2,NA
contig_1999,rafah,Haemophilus,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D,Confidence_score,0.111,FDR,0.898,2,NA
contig_1999,rafah,Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Confidence_score,0.089,FDR,0.921,3,NA
contig_1999,vhm,3300004145_4,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__20CM-2-55-15;f__20CM-2-55-15;g__G963664115;s__,S2star_similarity,0.306,NA,NA,1,3300004145_4
contig_1999,vhm,MGYG000443222,d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__JANQFM01;g__;s__,S2star_similarity,0.302,NA,NA,2,MGYG000443222
contig_1999,vhm,GCA_024233935.1,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptonemataceae;g__JACKOY01;s__JACKOY01 sp024233935,S2star_similarity,0.290,NA,NA,3,GB_GCA_024233935.1
contig_1999,vhm,MGYG000443214,d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__,S2star_similarity,0.289,NA,NA,4,MGYG000443214
contig_1999,vhm,3300009030_33,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__JAUVRN01;f__JAUVRN01;g__DAIOGN01;s__,S2star_similarity,0.288,NA,NA,5,3300009030_33
contig_1999,wish,GCA_963663885.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin34;s__Bin34 sp002238555,Log-likelihood,-1.322,p-value,0.0168545151739119,1,GB_GCA_963663885.1
contig_1999,wish,GCA_026705565.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin34;s__Bin34 sp026705565,Log-likelihood,-1.324,p-value,0.0186564278106037,2,GB_GCA_026705565.1
contig_1999,wish,GCA_009839295.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin34;s__Bin34 sp009839295,Log-likelihood,-1.325,p-value,0.0195953531228278,3,GB_GCA_009839295.1
contig_1999,wish,GCA_009841145.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin34;s__Bin34 sp009841145,Log-likelihood,-1.325,p-value,0.0207582848664863,4,GB_GCA_009841145.1
contig_1999,wish,GCA_022827025.1,d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__JAJDTT01;g__JAJDTT01;s__JAJDTT01 sp022827025,Log-likelihood,-1.326,p-value,0.0195784238078584,5,GB_GCA_022827025.1
contig_19998,iPHoP-RF,GB_GCA_035535155.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__JAJTCL01;s__JAJTCL01 sp035535155,Confidence_score,0.634,FDR,0.516,1,GB_GCA_035535155.1
contig_19998,iPHoP-RF,GB_GCA_023100825.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Solicola;s__Solicola sp023100825,Confidence_score,0.630,FDR,0.521,2,GB_GCA_023100825.1
contig_19998,iPHoP-RF,3300013014_23,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__,Confidence_score,0.626,FDR,0.525,3,3300013014_23
contig_19998,iPHoP-RF,RS_GCF_025790165.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Solicola;s__Solicola gregarius,Confidence_score,0.626,FDR,0.525,3,RS_GCF_025790165.1
contig_19998,iPHoP-RF,3300045516_29,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__,Confidence_score,0.612,FDR,0.542,4,3300045516_29
contig_19998,iPHoP-RF,GB_GCA_945859975.1,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__Fimbriimonas sp945859975,Confidence_score,0.612,FDR,0.542,4,GB_GCA_945859975.1
contig_19998,vhm,GCA_963555965.2,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Lucifugimonadales;f__Lucifugimonadaceae;g__Bin127;s__Bin127 sp963555965,S2star_similarity,0.207,NA,NA,1,GB_GCA_963555965.2
contig_19998,vhm,GCA_963664995.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Lucifugimonadales;f__Lucifugimonadaceae;g__Bin127;s__Bin127 sp963664995,S2star_similarity,0.201,NA,NA,2,GB_GCA_963664995.1
contig_19998,vhm,GCA_034423055.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Lucifugimonadales;f__Lucifugimonadaceae;g__Bin127;s__Bin127 sp034423055,S2star_similarity,0.198,NA,NA,3,GB_GCA_034423055.1
contig_19998,vhm,GCA_963665605.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__JADFKI01;g__Bin90;s__Bin90 sp963665605,S2star_similarity,0.194,NA,NA,4,GB_GCA_963665605.1
contig_19998,vhm,GCA_012270805.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Lucifugimonadales;f__Lucifugimonadaceae;g__Bin127;s__Bin127 sp012270805,S2star_similarity,0.191,NA,NA,5,GB_GCA_012270805.1
contig_19998,wish,GCA_963555965.2,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Lucifugimonadales;f__Lucifugimonadaceae;g__Bin127;s__Bin127 sp963555965,Log-likelihood,-1.352,p-value,0.0127795406859384,1,GB_GCA_963555965.2
contig_19998,wish,GCA_034423055.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Lucifugimonadales;f__Lucifugimonadaceae;g__Bin127;s__Bin127 sp034423055,Log-likelihood,-1.359,p-value,0.0385754904714972,2,GB_GCA_034423055.1
contig_19998,wish,GCA_963667085.1,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bin134;g__Poriferisocius;s__Poriferisocius sp963667085,Log-likelihood,-1.361,p-value,0.0750506197882378,3,GB_GCA_963667085.1
contig_19998,wish,GCA_963662485.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Lucifugimonadales;f__Lucifugimonadaceae;g__Bin127;s__Bin127 sp963662485,Log-likelihood,-1.363,p-value,0.0510498219207035,4,GB_GCA_963662485.1
contig_19998,wish,3300042731_745,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteriia;o__WVZY01;f__JAKEHA01;g__;s__,Log-likelihood,-1.363,p-value,0.1272323368831486,5,3300042731_745
contig_2011,crispr,MGYG000447473,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Alterinioella;s__Alterinioella nitratireducens,N_mismatches,3.000,Spacer_length,30.0,1,RS_GCF_013155465.1
contig_2011,crispr,GCA_001570385.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Microtetraspora;s__Microtetraspora glauca,N_mismatches,3.000,Spacer_length,33.0,1,GB_GCA_001570385.1
contig_2011,crispr,GCA_001570385.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Microtetraspora;s__Microtetraspora glauca,N_mismatches,4.000,Spacer_length,35.0,2,GB_GCA_001570385.1
contig_2011,crispr,MGYG000477206,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense,N_mismatches,4.000,Spacer_length,35.0,2,RS_GCF_000336815.1
contig_2011,iPHoP-RF,RS_GCF_000336815.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense,Confidence_score,0.696,FDR,0.435,1,RS_GCF_000336815.1
contig_2011,iPHoP-RF,GB_GCA_021815205.1,d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__GWB1-50-10;g__JAKAHD01;s__JAKAHD01 sp021815205,Confidence_score,0.384,FDR,0.778,2,GB_GCA_021815205.1
contig_2011,iPHoP-RF,GB_GCA_021791135.1,d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__GWB1-50-10;g__JAKAHD01;s__JAKAHD01 sp021791135,Confidence_score,0.352,FDR,0.801,3,GB_GCA_021791135.1
contig_2011,iPHoP-RF,GB_GCA_022819805.1,d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__Nemesobacterales;f__Nemesobacteraceae;g__Nemesobacter;s__Nemesobacter sp022819805,Confidence_score,0.266,FDR,0.862,4,GB_GCA_022819805.1
contig_2011,iPHoP-RF,3300034989_4,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__,Confidence_score,0.234,FDR,0.883,5,3300034989_4
contig_2011,php,GCA_963667615.1,d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__Nemesobacterales;f__Nemesobacteraceae;g__Nemesobacter;s__Nemesobacter sp963667615,Score,1442.935,NA,NA,1,GB_GCA_963667615.1
